Subject ID,Subject Number,Condition,Control,Distorted
3zheeulxb8,1,Brush,switzerland,can't say
w6uh59voys,2,Brush,Germany,2
9zy4hxmsgw,3,Arial,Belgium,2
q044urjqfz,4,Arial,Switzerland,2
4nnht7rrb5,5,Arial,Switzerland,2
xp5aeevjtz,6,Brush,England,Moses
hpqx4c9lk8,7,Brush,Germany,Don't know
j3swb5zj73,8,Arial,Switzerland,Can't say
w4mxt9589z,9,Brush,Germany,2
sgwwz988ne,10,Arial,Switzerland,Can't say
kwzb2morm4,11,Brush,Switzerland,Moses didn't go on the ark
wq0vwjtcz7,12,Arial,Germany ,Don't know
